"MacroTrends Data Download"
"RUTH - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2005-08-09,17.1226,19.9417,16.4307,17.9008,11688000
2005-08-10,18.3678,19.4142,18.2641,18.4716,2121300
2005-08-11,18.8521,19.0251,17.9008,18.1862,1191100
2005-08-12,18.3332,18.4370,17.9441,18.1516,471100
2005-08-15,18.2035,18.2900,17.3560,17.8749,790600
2005-08-16,17.5549,18.1724,17.1658,17.5982,483700
2005-08-17,18.0133,18.0133,16.8891,17.3301,362900
2005-08-18,17.2955,17.3820,16.7507,17.2090,423500
2005-08-19,17.0793,17.5549,17.0793,17.3474,234600
2005-08-22,17.5290,17.6847,17.1831,17.2696,188400
2005-08-23,17.3128,17.3301,17.0361,17.1053,421600
2005-08-24,17.2090,17.2955,16.0762,16.6469,1320600
2005-08-25,17.2350,17.9008,16.9496,17.7538,1941300
2005-08-26,17.9008,18.0911,17.3128,18.0911,522100
2005-08-29,18.0652,18.0738,17.5117,17.9441,248400
2005-08-30,18.0046,18.0046,17.1312,17.2004,668400
2005-08-31,17.0447,17.2955,15.7821,16.2578,1842100
2005-09-01,16.1367,16.3270,15.0039,15.3671,1341000
2005-09-02,15.6524,16.0935,15.2200,15.4103,504600
2005-09-06,15.6784,15.9551,15.5660,15.7735,604300
2005-09-07,16.2664,16.2924,15.9983,16.1367,765400
2005-09-08,16.2578,16.3010,15.6697,15.8859,434700
2005-09-09,15.8946,16.0848,15.5746,15.7130,271400
2005-09-12,15.8340,16.3443,15.7735,16.1713,428300
2005-09-13,16.3443,16.3443,15.9983,16.1799,243600
2005-09-14,16.2924,16.2924,15.7476,15.8081,227700
2005-09-15,16.0502,16.0502,15.5227,15.5919,438200
2005-09-16,15.7821,16.3788,15.6611,16.2232,864100
2005-09-19,16.4307,16.4740,15.7821,15.9465,756100
2005-09-20,15.9551,16.4134,15.6957,15.7821,473700
2005-09-21,15.8254,15.8254,15.0211,15.1768,374900
2005-09-22,15.0644,15.1068,14.3475,14.9001,963900
2005-09-23,14.7444,15.4362,14.7444,15.2806,179000
2005-09-26,15.4276,15.5833,15.1163,15.1941,245600
2005-09-27,15.1163,15.3087,14.7877,14.9520,162400
2005-09-28,15.7130,15.9465,15.3671,15.5487,584500
2005-09-29,15.6265,16.1281,15.5227,16.0848,320400
2005-09-30,16.1618,16.3615,15.8167,15.8946,1200900
2005-10-03,15.8254,16.3961,15.7303,16.3356,268400
2005-10-04,16.2578,16.4999,15.7389,15.8686,297900
2005-10-05,15.9205,16.0243,15.5400,15.6611,349700
2005-10-06,15.5660,15.8686,15.3757,15.5660,419700
2005-10-07,15.4795,15.8686,15.4795,15.6957,210300
2005-10-10,15.8513,15.8946,15.6438,15.7735,227400
2005-10-11,15.8081,15.8600,15.7043,15.7821,98000
2005-10-12,15.6957,15.7821,14.8741,15.1076,286300
2005-10-13,15.1076,15.5573,15.0557,15.3498,172300
2005-10-14,15.2546,15.5487,15.2546,15.4881,145300
2005-10-17,15.4016,15.5833,15.2806,15.4362,86900
2005-10-18,15.3757,15.5227,15.0817,15.1422,295500
2005-10-19,14.8828,15.3498,14.7617,15.1855,298900
2005-10-20,15.3411,15.7821,15.1509,15.7303,331100
2005-10-21,15.7130,15.9983,15.7130,15.8513,144800
2005-10-24,15.8686,15.8946,15.7303,15.7994,46000
2005-10-25,15.6092,15.7735,15.3930,15.4968,152100
2005-10-26,15.3498,15.5660,15.1768,15.2719,169600
2005-10-27,15.1336,15.2546,14.9174,14.9606,75800
2005-10-28,14.9520,15.2460,14.7444,15.0039,162700
2005-10-31,14.9779,15.5746,14.9779,15.4449,99900
2005-11-01,15.1509,15.5400,15.1509,15.4449,125400
2005-11-02,15.4449,15.6957,15.4276,15.6611,119800
2005-11-03,15.6178,15.7994,15.3152,15.4708,72100
2005-11-04,15.4622,15.8254,15.3671,15.7389,291200
2005-11-07,15.6957,15.8080,15.4795,15.6178,63000
2005-11-08,15.4795,15.5400,15.2200,15.2806,80500
2005-11-09,15.1768,15.2027,14.8050,15.0471,233900
2005-11-10,15.1595,15.2979,14.7790,14.8914,122900
2005-11-11,15.0903,15.6957,14.8136,15.5573,205900
2005-11-14,15.6524,15.6524,15.2546,15.4362,120200
2005-11-15,14.7877,15.0039,14.0958,14.1564,1956400
2005-11-16,14.4504,14.4504,14.1564,14.2861,433600
2005-11-17,14.3120,14.4936,14.3034,14.4331,178300
2005-11-18,14.5023,14.5416,14.2861,14.3812,173600
2005-11-21,14.5888,15.1336,14.5023,15.0903,661800
2005-11-22,15.2114,15.6870,15.1336,15.5141,385500
2005-11-23,15.5227,15.8946,15.3671,15.6351,396300
2005-11-25,15.7821,15.7821,15.4535,15.5919,94800
2005-11-28,15.5660,15.7216,15.3671,15.4189,68900
2005-11-29,15.4968,15.5910,15.2806,15.4362,69200
2005-11-30,15.5487,15.5487,15.1422,15.2892,200200
2005-12-01,15.3498,15.3671,15.0211,15.1076,203200
2005-12-02,15.0211,15.1509,14.9260,15.1076,157100
2005-12-05,15.0211,15.1682,14.9693,15.0125,75400
2005-12-06,14.9606,15.2114,14.9260,15.1768,151100
2005-12-07,15.0644,15.2200,14.9606,15.0298,171600
2005-12-08,14.9520,15.1422,14.8568,15.1422,121000
2005-12-09,15.1336,15.6005,14.9693,15.4276,257700
2005-12-12,15.2633,15.7303,15.2633,15.5919,244000
2005-12-13,15.6957,16.3097,15.5573,16.1713,408000
2005-12-14,16.1972,16.7420,16.1021,16.5864,540800
2005-12-15,16.6902,16.8631,16.2145,16.3010,284100
2005-12-16,16.4134,16.4653,15.6784,16.0848,442800
2005-12-19,16.0156,16.0156,15.4795,15.7476,216900
2005-12-20,15.7476,15.8686,15.5227,15.6784,149900
2005-12-21,15.8081,15.8167,15.5660,15.7649,79200
2005-12-22,15.6957,15.9897,15.6957,15.9378,78700
2005-12-23,15.9897,16.0329,15.8427,15.8600,63300
2005-12-27,15.7649,15.9119,15.6870,15.6957,79400
2005-12-28,15.6957,15.7735,15.3930,15.5919,103900
2005-12-29,15.4708,15.7389,15.4535,15.5660,102700
2005-12-30,15.4968,15.7216,15.4362,15.6438,263700
2006-01-03,15.7389,15.7389,15.1336,15.3152,250700
2006-01-04,15.3152,16.1972,15.2633,16.0070,311300
2006-01-05,16.7680,17.2090,16.3875,17.0966,816200
2006-01-06,17.0966,17.5982,16.9928,17.3820,424900
2006-01-09,17.3042,17.5463,17.0707,17.2090,283800
2006-01-10,17.1226,17.2263,16.3183,16.8026,295300
2006-01-11,16.8199,16.8372,16.4134,16.6815,204600
2006-01-12,16.5172,17.5463,16.5172,17.5117,485900
2006-01-13,17.4512,17.8490,17.4512,17.6760,210200
2006-01-17,17.4512,17.4512,17.1917,17.3387,249800
2006-01-18,17.0966,17.6155,17.0966,17.2955,276300
2006-01-19,17.6414,17.9527,17.4771,17.8663,504800
2006-01-20,17.7452,17.8836,17.4858,17.6933,125700
2006-01-23,17.5636,17.6847,17.0966,17.2955,226200
2006-01-24,17.3906,17.6241,17.2696,17.3820,206600
2006-01-25,17.3733,17.5463,17.2955,17.4598,216800
2006-01-26,17.4685,18.3677,17.4685,18.2813,504300
2006-01-27,18.2900,18.5581,17.9268,18.4802,227700
2006-01-30,18.3851,18.7397,18.3332,18.4975,195100
2006-01-31,18.3938,18.5062,17.9527,18.2900,136300
2006-02-01,18.1257,18.7224,18.1257,18.6618,247400
2006-02-02,18.5494,18.6791,18.3592,18.5581,162400
2006-02-03,18.4975,19.7947,18.4889,19.3018,562000
2006-02-06,19.2153,19.2931,18.8953,19.2412,346700
2006-02-07,19.2499,19.6477,19.2326,19.5180,362400
2006-02-08,19.6477,19.6477,19.1548,19.4661,178700
2006-02-09,19.4315,20.2357,19.1980,19.4142,432500
2006-02-10,19.4142,19.8379,18.8607,19.2067,328400
2006-02-13,19.2240,19.3883,19.0251,19.1721,185000
2006-02-14,19.2412,19.2758,18.7311,18.9386,204200
2006-02-15,18.8089,18.8175,18.1862,18.3159,356300
2006-02-16,18.2641,18.3938,17.5031,18.0997,864400
2006-02-17,18.1603,18.5235,17.8576,17.9873,397400
2006-02-21,18.1603,18.5840,18.0392,18.4630,320400
2006-02-22,19.4574,19.7601,18.8262,19.3018,769500
2006-02-23,19.4661,19.5612,19.0942,19.1202,297100
2006-02-24,19.1721,19.2672,18.8694,19.1288,203600
2006-02-27,19.2153,19.2758,18.6013,18.8175,229100
2006-02-28,18.8348,19.0251,18.4284,18.6100,148900
2006-03-01,18.5754,19.1634,18.4370,18.5062,144200
2006-03-02,18.5494,18.7051,18.3505,18.4630,104000
2006-03-03,18.3765,18.6878,18.2295,18.3073,122200
2006-03-06,18.2813,18.7829,18.1343,18.7310,184800
2006-03-07,18.6359,19.1721,18.6359,18.9386,223600
2006-03-08,18.8953,19.1115,18.6705,18.9905,153900
2006-03-09,19.0164,19.0164,18.6186,18.7051,82700
2006-03-10,18.6532,18.9905,18.1084,18.8175,113900
2006-03-13,18.8002,18.9472,18.3765,18.4716,140100
2006-03-14,18.4024,19.2845,18.3765,18.9818,428700
2006-03-15,19.0251,19.2412,18.8953,19.1202,385000
2006-03-16,19.0942,19.2326,18.6186,18.6618,93000
2006-03-17,18.7310,19.0078,18.7224,18.8867,145500
2006-03-20,18.9645,19.5007,18.6100,18.9040,123900
2006-03-21,18.8607,19.1115,18.6705,18.8348,115600
2006-03-22,18.8089,19.0596,18.7829,18.9991,84400
2006-03-23,18.9386,19.1029,18.7397,19.0683,61700
2006-03-24,19.1202,19.8898,18.9991,19.8898,472700
2006-03-27,19.8985,20.7200,19.7169,20.6681,706200
2006-03-28,20.7114,20.9189,20.3655,20.7892,718700
2006-03-29,20.8151,21.0140,20.3979,20.9103,197400
2006-03-30,20.9708,21.2821,20.6335,20.7546,411900
2006-03-31,20.1925,21.1351,19.1980,20.5903,649500
2006-04-03,20.6162,20.7546,19.9071,19.9417,135400
2006-04-04,19.8985,20.5730,19.8034,20.5557,163200
2006-04-05,20.6076,20.7978,20.1493,20.3222,150000
2006-04-06,20.3741,20.3741,19.7601,19.9504,208600
2006-04-07,19.9504,20.1060,19.6909,19.8293,122200
2006-04-10,19.7861,19.8379,19.4574,19.7169,173800
2006-04-11,19.6823,19.7255,19.2758,19.3969,126800
2006-04-12,19.3710,20.2011,19.2499,20.1666,210500
2006-04-13,20.1666,20.3222,20.0023,20.1320,177200
2006-04-17,20.0974,20.3568,19.6823,19.8898,203500
2006-04-18,19.8552,20.4087,19.6390,20.3222,268900
2006-04-19,20.3136,20.4692,19.9677,20.4606,206000
2006-04-20,20.4087,20.4173,19.8812,20.3395,161800
2006-04-21,20.5211,20.5211,19.3450,19.5699,291700
2006-04-24,19.5007,19.7169,18.6100,19.6477,435500
2006-04-25,20.3222,21.1783,19.4574,20.0887,726700
2006-04-26,20.0887,20.2357,19.2672,20.0023,414300
2006-04-27,19.8898,20.3741,19.6909,20.0455,174500
2006-04-28,19.9504,20.2790,19.6909,20.1925,148500
2006-05-01,20.2876,20.2876,19.6218,19.7688,166400
2006-05-02,19.7515,19.7515,19.0683,19.2931,426400
2006-05-03,19.2412,19.2412,18.5062,18.6013,800800
2006-05-04,18.5581,19.5439,18.5581,19.3364,381600
2006-05-05,19.4488,19.6736,19.1288,19.2672,275600
2006-05-08,19.1894,19.1894,18.6878,19.0337,316000
2006-05-09,18.9559,19.1894,18.8089,19.0942,195000
2006-05-10,19.0251,19.4488,18.8262,19.3191,121200
2006-05-11,19.4574,19.4920,18.8607,19.0251,244500
2006-05-12,18.9559,19.1375,18.7224,19.0078,123300
2006-05-15,18.9126,19.6477,18.7310,19.4488,253900
2006-05-16,19.4056,19.5785,18.9126,19.0424,168800
2006-05-17,18.8607,19.0769,18.1603,18.3592,320100
2006-05-18,18.3505,18.5235,18.1170,18.1257,195700
2006-05-19,18.0825,18.2295,17.5203,17.8663,524000
2006-05-22,17.8663,17.8749,17.4598,17.5463,234900
2006-05-23,17.4425,17.8403,17.4425,17.6760,253100
2006-05-24,17.6414,17.7538,16.3270,17.5117,260300
2006-05-25,17.6760,18.0738,17.4598,17.9960,221700
2006-05-26,18.0392,18.0652,17.6501,17.7106,285000
2006-05-30,17.5809,17.6760,17.2090,17.4512,186600
2006-05-31,17.4339,17.5982,17.1831,17.3820,403600
2006-06-01,17.4512,17.6587,17.3042,17.5722,192300
2006-06-02,17.6155,18.0306,17.4252,17.5031,237400
2006-06-05,17.4425,17.4685,16.9842,17.0188,176900
2006-06-06,17.0620,17.1139,16.6556,16.7420,308300
2006-06-07,16.7075,17.0447,16.5345,17.0361,458100
2006-06-08,17.0101,17.0793,16.4221,16.7593,119500
2006-06-09,16.7766,16.9323,16.5432,16.6642,127100
2006-06-12,16.5076,16.7593,16.2664,16.2924,89300
2006-06-13,16.2924,16.5518,15.3325,15.7821,425900
2006-06-14,15.8773,15.9983,15.7735,15.9983,104300
2006-06-15,17.0620,17.7279,16.4913,16.8891,371400
2006-06-16,16.8977,16.8977,16.2664,16.5086,506400
2006-06-19,16.6037,16.6902,16.0156,16.3270,202700
2006-06-20,16.4048,16.6815,16.3010,16.4221,94200
2006-06-21,16.4567,17.0880,16.4091,16.7334,213200
2006-06-22,16.7507,17.1917,16.6910,16.9496,178800
2006-06-23,16.8458,17.4252,16.8458,16.9582,249400
2006-06-26,17.0188,17.4339,17.0188,17.2696,106400
2006-06-27,17.3387,17.7019,17.3138,17.3820,217200
2006-06-28,17.3647,17.5982,16.9150,17.3820,199900
2006-06-29,17.5031,18.1603,17.5031,18.0997,232400
2006-06-30,18.1603,18.3246,17.6328,17.6587,590300
2006-07-03,17.6328,18.2813,17.5895,18.2727,70300
2006-07-05,18.0997,18.2295,17.4339,17.6068,206200
2006-07-06,17.5895,17.9527,17.1658,17.3301,139100
2006-07-07,17.3042,17.4944,16.9669,17.1139,110700
2006-07-10,17.1139,17.3042,16.8718,17.0880,134900
2006-07-11,17.0274,17.3042,16.5259,17.1398,124800
2006-07-12,17.1485,17.2696,16.7161,16.8372,133400
2006-07-13,16.7939,16.8285,16.3961,16.4653,211600
2006-07-14,16.3961,16.3961,16.0243,16.0243,342400
2006-07-17,16.0416,16.2924,15.7389,15.8600,200700
2006-07-18,15.8773,16.2145,15.5573,15.9378,310200
2006-07-19,15.8600,16.2664,15.8254,16.1626,225800
2006-07-20,16.1626,16.1886,15.8946,15.9983,145400
2006-07-21,15.9378,15.9378,15.3411,15.4276,258300
2006-07-24,15.5746,15.7735,15.2633,15.6005,308800
2006-07-25,15.6351,15.9983,15.4795,15.8600,317700
2006-07-26,15.7821,15.9378,15.2287,15.4622,298600
2006-07-27,16.4221,16.4307,15.1509,15.5919,502700
2006-07-28,15.6265,15.9897,15.3757,15.5660,451600
2006-07-31,15.4708,15.6351,15.2287,15.3498,310700
2006-08-01,15.2892,15.2979,14.7012,15.0471,329600
2006-08-02,15.1422,15.1595,14.7185,14.9174,624800
2006-08-03,14.8482,15.6438,14.6147,15.5400,366300
2006-08-04,15.9119,16.1886,15.6265,15.8946,373700
2006-08-07,15.7216,15.9551,15.4276,15.7908,176400
2006-08-08,15.8686,16.4480,15.6005,15.7303,237900
2006-08-09,15.9292,16.1108,15.5314,15.7303,221900
2006-08-10,15.6957,16.2924,15.6351,16.0416,559400
2006-08-11,15.6957,16.0416,15.5746,15.5919,193500
2006-08-14,15.6611,16.2578,15.6611,15.8427,244700
2006-08-15,15.8773,16.3615,15.8773,16.1021,355500
2006-08-16,16.2751,17.5895,16.1713,17.0707,375200
2006-08-17,17.0707,17.4944,16.7680,17.0966,373200
2006-08-18,17.1571,17.3301,16.8718,17.3214,200800
2006-08-21,17.2350,17.4512,16.7593,17.3301,202300
2006-08-22,17.3820,17.3820,16.9669,17.0361,226100
2006-08-23,17.0707,17.3993,17.0274,17.3387,144400
2006-08-24,17.4425,17.7798,17.3958,17.6674,311100
2006-08-25,17.5722,17.6414,17.2609,17.3128,281400
2006-08-28,17.3474,17.6760,17.2263,17.4771,346000
2006-08-29,17.4858,17.5031,17.1658,17.2869,389200
2006-08-30,17.2609,17.6328,17.2609,17.3906,354100
2006-08-31,17.4425,17.5031,17.0966,17.1917,148200
2006-09-01,17.2004,17.3214,16.8891,17.1312,189700
2006-09-05,17.1917,17.1917,16.7680,16.8718,296200
2006-09-06,16.8285,16.8285,16.2578,16.4048,262600
2006-09-07,16.2837,16.6642,16.2578,16.4999,155600
2006-09-08,16.5604,16.5604,16.2837,16.3270,225700
2006-09-11,16.2145,16.6210,15.8859,16.4826,658800
2006-09-12,16.5432,17.3474,16.4394,17.0361,378900
2006-09-13,16.9928,17.3993,16.9928,17.3214,358600
2006-09-14,17.1658,17.2350,16.6296,17.1917,174900
2006-09-15,17.2955,17.3560,16.6902,17.2177,333600
2006-09-18,17.1831,17.2955,16.7853,17.1398,167400
2006-09-19,17.1139,17.1831,16.4048,16.7939,225100
2006-09-20,16.8458,17.3820,16.8458,17.0447,207800
2006-09-21,17.0793,17.1658,16.3097,16.5259,365500
2006-09-22,17.0274,17.0274,16.0935,16.2232,715500
2006-09-25,16.2751,16.5604,15.9119,16.3788,417900
2006-09-26,16.3875,16.4394,15.7476,15.9551,996300
2006-09-27,15.7821,16.8285,15.7389,16.4740,824700
2006-09-28,16.4913,16.5086,16.0243,16.2837,319400
2006-09-29,16.3356,16.5777,16.1886,16.2751,258700
2006-10-02,16.3183,16.3961,16.2145,16.3183,252200
2006-10-03,16.3356,16.6902,16.1799,16.4307,343400
2006-10-04,16.4394,17.1917,16.3529,16.9582,303000
2006-10-05,16.9928,17.4166,16.8372,17.3733,213100
2006-10-06,17.3733,17.3733,16.9064,17.1917,219100
2006-10-09,17.1139,17.2177,16.6383,16.9582,100800
2006-10-10,16.9323,16.9755,16.5691,16.7334,153000
2006-10-11,16.6123,16.7161,16.2145,16.3356,341500
2006-10-12,16.4048,16.6469,16.2837,16.4307,342600
2006-10-13,16.4307,16.5518,16.2405,16.3875,267100
2006-10-16,16.4048,16.5864,16.3183,16.5345,225700
2006-10-17,16.4307,16.8458,16.3097,16.7853,224000
2006-10-18,16.8199,17.0187,16.4826,16.7248,156900
2006-10-19,16.7593,17.0534,16.7593,17.0015,229600
2006-10-20,16.9755,17.0707,16.3875,16.7334,283900
2006-10-23,16.6296,17.2177,16.4999,17.0101,257200
2006-10-24,16.9237,17.1744,16.8026,17.0361,122600
2006-10-25,17.0966,17.5376,16.6123,16.9409,252500
2006-10-26,16.9669,17.0966,16.6469,17.0880,178200
2006-10-27,17.0015,17.0188,16.5518,16.5950,206800
2006-10-30,16.5950,16.8372,16.5172,16.8372,145900
2006-10-31,16.7939,17.0880,16.6210,17.0274,316200
2006-11-01,17.0015,17.2263,16.8718,17.0966,242200
2006-11-02,15.9983,16.8285,15.9983,16.0156,753000
2006-11-03,16.0243,16.1367,15.4708,15.7476,577000
2006-11-06,16.0502,16.5259,15.9551,16.4999,549100
2006-11-07,16.6210,17.3128,16.5604,17.2004,629600
2006-11-08,17.2004,17.3733,17.0707,17.3474,494500
2006-11-09,17.4425,17.4425,17.1485,17.3128,540900
2006-11-10,17.3128,17.4166,17.1226,17.3042,315700
2006-11-13,17.2955,17.7365,17.2955,17.6328,289300
2006-11-14,17.6068,17.7279,17.1744,17.7279,283100
2006-11-15,17.7106,17.8922,17.5250,17.6414,192200
2006-11-16,17.6414,17.7971,17.5376,17.7019,200800
2006-11-17,17.6933,17.7279,17.4339,17.7192,117900
2006-11-20,17.6674,17.8230,17.4079,17.6760,236600
2006-11-21,17.7106,17.7711,17.4512,17.5549,68400
2006-11-22,17.4944,17.5463,17.2523,17.3387,162000
2006-11-24,17.2869,17.2955,17.1139,17.1571,94400
2006-11-27,17.1312,17.2609,16.7507,16.8372,512900
2006-11-28,16.8545,16.8545,16.4913,16.6815,351200
2006-11-29,16.7507,16.9323,16.4221,16.6383,365500
2006-11-30,16.5691,16.6123,16.3270,16.3875,433200
2006-12-01,16.3443,16.8545,16.3443,16.7939,684400
2006-12-04,16.7853,16.8977,16.5691,16.6642,274500
2006-12-05,16.6642,16.8199,16.6037,16.6642,302900
2006-12-06,16.5777,16.6642,16.4740,16.5345,228400
2006-12-07,16.4999,16.5950,16.3443,16.3529,178600
2006-12-08,16.3702,16.7593,16.2232,16.4740,133900
2006-12-11,16.3961,16.6210,16.3443,16.3961,106200
2006-12-12,16.3875,16.3961,16.1021,16.1367,140300
2006-12-13,16.2578,16.2664,15.8081,15.8167,278200
2006-12-14,15.9292,16.4740,15.8773,16.0416,392700
2006-12-15,16.0848,16.2491,15.9983,16.0675,318300
2006-12-18,16.0502,16.1367,15.7389,15.7735,264700
2006-12-19,15.7389,15.8600,15.6438,15.7994,217000
2006-12-20,15.7649,15.9032,15.6784,15.7303,442800
2006-12-21,15.6957,15.8600,15.4795,15.5487,627000
2006-12-22,15.5660,15.8427,15.5660,15.8254,251100
2006-12-26,15.7821,16.2924,15.7130,16.2924,157500
2006-12-27,16.2491,16.4913,16.1108,16.3615,328900
2006-12-28,16.3788,16.4307,16.0243,16.1281,141100
2006-12-29,16.0589,16.2059,15.8081,15.8081,148200
2007-01-03,15.8513,16.1540,15.7821,15.8686,345500
2007-01-04,16.5172,16.8891,15.9724,16.8631,925500
2007-01-05,16.7248,17.0188,16.5259,16.9669,474200
2007-01-08,16.9409,17.2869,16.6729,17.0793,308200
2007-01-09,17.1485,17.7711,17.0707,17.7538,637300
2007-01-10,17.7279,18.2035,17.6414,17.9441,684400
2007-01-11,18.0219,18.6446,17.9614,18.5840,516800
2007-01-12,18.5494,19.0251,18.4197,18.9905,448100
2007-01-16,19.3191,19.4920,18.6791,19.0164,739300
2007-01-17,18.9299,18.9299,18.5667,18.7224,228800
2007-01-18,18.6618,18.7051,18.2208,18.3332,374300
2007-01-19,18.2727,18.3332,18.0652,18.2727,193800
2007-01-22,18.2900,18.2900,17.9700,18.0306,194700
2007-01-23,17.9700,18.3073,17.9700,18.1343,166400
2007-01-24,18.2035,18.4975,18.0392,18.4543,363500
2007-01-25,18.5321,18.5754,18.3419,18.4370,226500
2007-01-26,18.4370,18.5754,18.0133,18.4543,252400
2007-01-29,18.4197,18.6532,18.3851,18.5235,215000
2007-01-30,18.5667,18.6186,18.3073,18.6013,236700
2007-01-31,18.5667,18.7137,18.5062,18.5754,230300
2007-02-01,18.4889,18.7051,18.4630,18.6100,164700
2007-02-02,18.6186,18.6791,18.5062,18.5321,123200
2007-02-05,18.5321,18.6964,18.3159,18.4370,139400
2007-02-06,18.4889,18.4889,18.2208,18.3678,115600
2007-02-07,18.3159,18.7829,18.2035,18.7224,272700
2007-02-08,18.7310,18.9559,18.4630,18.9299,146300
2007-02-09,18.9472,18.9472,18.3678,18.4284,169700
2007-02-12,18.3851,18.4024,18.1603,18.3246,206900
2007-02-13,18.3332,18.8694,18.3332,18.7916,132100
2007-02-14,18.8089,18.8694,18.4716,18.6791,173000
2007-02-15,18.7051,19.0510,18.6273,18.8780,185700
2007-02-16,18.9040,19.0251,18.8089,19.0078,145000
2007-02-20,18.9905,19.1115,18.6273,18.8521,254700
2007-02-21,18.8521,19.8034,18.7656,19.5180,624100
2007-02-22,18.3765,19.6477,18.3593,19.4574,937300
2007-02-23,19.5266,19.6996,19.2412,19.5439,367600
2007-02-26,19.6909,19.8898,19.3796,19.6045,583800
2007-02-27,19.4747,19.5872,19.1461,19.4142,396800
2007-02-28,19.3623,19.3623,18.5581,18.6618,382100
2007-03-01,18.4111,18.7656,18.0479,18.3419,361200
2007-03-02,18.2813,18.2900,17.9181,18.0911,206900
2007-03-05,18.0565,18.0565,17.5722,17.5894,302600
2007-03-06,18.6791,18.9818,18.4802,18.5927,1192800
2007-03-07,18.6359,18.7051,18.3851,18.4630,2249200
2007-03-08,18.4889,18.4975,18.0997,18.2641,495100
2007-03-09,18.3332,18.4284,18.0997,18.3246,281500
2007-03-12,18.2986,18.3678,18.0738,18.2727,247300
2007-03-13,18.2727,18.2727,17.5636,17.8230,309900
2007-03-14,17.7365,18.1430,17.5549,18.1343,241400
2007-03-15,18.1776,18.2468,17.6587,17.7884,252000
2007-03-16,17.7798,17.8663,17.5117,17.6328,228500
2007-03-19,17.6760,17.9268,17.5982,17.7711,216300
2007-03-20,17.7279,17.9268,17.5636,17.8057,90400
2007-03-21,17.7711,18.1430,17.6328,18.1430,170000
2007-03-22,18.0997,18.1603,17.8663,18.1430,115800
2007-03-23,18.0825,18.2381,17.7711,18.1603,192100
2007-03-26,18.1170,18.1430,17.9008,18.0479,120400
2007-03-27,17.9268,18.1430,17.8900,18.0479,145600
2007-03-28,17.9527,18.0046,17.6760,17.7192,123600
2007-03-29,17.8230,17.9117,17.5117,17.6933,149100
2007-03-30,17.7365,17.8317,17.5376,17.6068,303500
2007-04-02,17.7106,17.7452,17.6241,17.7279,99100
2007-04-03,17.7884,18.0306,17.6847,17.7711,204400
2007-04-04,17.8144,17.8144,17.4252,17.4512,209200
2007-04-05,17.4079,17.7711,17.3647,17.7019,292000
2007-04-09,17.6847,17.6933,17.3820,17.4166,156200
2007-04-10,17.4512,17.5982,17.2090,17.2955,282000
2007-04-11,17.3042,17.3128,16.7334,16.9064,358700
2007-04-12,16.8631,16.9064,16.7161,16.8631,264500
2007-04-13,16.8545,17.1485,16.7680,17.1226,365700
2007-04-16,17.2869,17.7106,17.2255,17.5982,311100
2007-04-17,17.6068,17.7452,17.5376,17.5722,340700
2007-04-18,17.5636,17.7538,17.5549,17.6414,252100
2007-04-19,17.6501,17.8443,17.4858,17.7279,205700
2007-04-20,17.8922,17.9095,17.6760,17.7106,222500
2007-04-23,17.7538,17.7538,17.4771,17.5117,144600
2007-04-24,17.5463,17.5463,17.3042,17.3820,165500
2007-04-25,17.4858,17.7711,17.4771,17.6760,131800
2007-04-26,17.7884,17.8057,17.5532,17.6933,209100
2007-04-27,17.7106,17.7711,17.2782,17.2955,432700
2007-04-30,17.3647,17.6241,17.1226,17.1658,156500
2007-05-01,17.0361,17.2351,16.6296,17.1485,517000
2007-05-02,16.0762,17.0361,15.9810,16.0762,1493400
2007-05-03,16.0416,16.2924,15.9032,16.1367,591600
2007-05-04,16.1367,16.4307,16.1281,16.2837,283700
2007-05-07,16.2578,16.3010,16.0329,16.0502,311800
2007-05-08,15.9983,16.0675,15.8254,16.0329,354700
2007-05-09,15.9983,16.0243,15.7389,15.9983,344500
2007-05-10,15.9724,16.0416,15.5660,15.5746,622600
2007-05-11,15.7216,15.8340,15.4968,15.6957,594100
2007-05-14,15.8167,15.9205,15.5919,15.7043,434700
2007-05-15,15.7735,15.8340,15.5660,15.5919,371600
2007-05-16,15.6351,16.0070,15.5919,16.0070,422100
2007-05-17,16.0848,16.1194,15.8081,15.8254,392500
2007-05-18,15.8859,16.1540,15.8167,15.9724,534600
2007-05-21,16.0416,16.4653,15.9724,16.3961,593700
2007-05-22,16.4307,16.4999,16.2232,16.4394,460900
2007-05-23,16.4567,16.7248,16.3443,16.4134,266800
2007-05-24,16.4567,16.4567,16.1281,16.2664,231900
2007-05-25,16.3010,16.3183,16.0848,16.3010,261800
2007-05-29,16.3875,16.4134,15.8254,16.0848,377800
2007-05-30,16.0675,16.0848,15.8773,16.0416,321300
2007-05-31,16.0848,16.0848,15.7735,15.8340,834300
