"MacroTrends Data Download"
"CI - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1982-03-31,2.9939,3.0595,2.9278,3.0595,1474200
1982-04-01,2.9939,3.0595,2.9278,3.0595,1474200
1982-04-02,3.1327,3.1913,3.0742,3.1620,1710900
1982-04-05,3.1913,3.2206,3.1620,3.1913,1604700
1982-04-06,3.1550,3.1766,3.1327,3.1766,1361700
1982-04-07,3.1913,3.2135,3.1696,3.1913,1206000
1982-04-08,3.2059,3.2428,3.1696,3.2206,1188000
1982-04-12,3.2059,3.2352,3.1696,3.1766,805500
1982-04-13,3.1913,3.2135,3.1696,3.2059,1282500
1982-04-14,3.1843,3.1989,3.1696,3.1913,207000
1982-04-15,3.1696,3.1913,3.1474,3.1843,331200
1982-04-16,3.1913,3.2059,3.1696,3.1843,576900
1982-04-19,3.2059,3.2206,3.1843,3.1913,713700
1982-04-20,3.1843,3.1989,3.1696,3.1843,508500
1982-04-21,3.1620,3.1766,3.1474,3.1474,254700
1982-04-22,3.1620,3.1766,3.1403,3.1550,576000
1982-04-23,2.9939,3.0010,2.9793,3.0010,3060900
1982-04-26,2.9500,3.0010,2.8985,2.9354,3427200
1982-04-27,2.9061,2.9354,2.8768,2.8839,2219400
1982-04-28,2.8915,2.9131,2.8692,2.8692,542700
1982-04-29,2.8839,2.9061,2.8546,2.8546,423900
1982-04-30,2.8253,2.8399,2.8107,2.8183,2470500
1982-05-03,2.7960,2.8183,2.7744,2.7890,1687500
1982-05-04,2.7890,2.7960,2.7814,2.7960,1632600
1982-05-05,2.7814,2.7960,2.7668,2.7890,587700
1982-05-06,2.7890,2.8107,2.7668,2.7960,1586700
1982-05-07,2.7668,2.7960,2.7375,2.7521,2665800
1982-05-10,2.7668,2.7890,2.7451,2.7597,1100700
1982-05-11,2.8036,2.8253,2.7814,2.8183,941400
1982-05-12,2.7521,2.8253,2.6789,2.6789,2474100
1982-05-13,2.4230,2.4523,2.3861,2.4084,15327900
1982-05-14,2.4669,2.4816,2.4447,2.4740,4312800
1982-05-17,2.4740,2.4886,2.4593,2.4740,1360800
1982-05-18,2.4669,2.4740,2.4523,2.4593,1487700
1982-05-19,2.4301,2.4447,2.4084,2.4154,2322900
1982-05-20,2.3861,2.4084,2.3645,2.4008,2007900
1982-05-21,2.3715,2.3861,2.3569,2.3645,1656000
1982-05-24,2.3352,2.3645,2.2983,2.3059,3863700
1982-05-25,2.3352,2.3498,2.3129,2.3129,2444400
1982-05-26,2.2913,2.3129,2.2620,2.2766,2028600
1982-05-27,2.2620,2.2766,2.2474,2.2690,1105200
1982-05-28,2.2620,2.2766,2.2398,2.2474,1545300
1982-06-01,2.2251,2.2398,2.2034,2.2251,1088100
1982-06-02,2.2398,2.2544,2.2251,2.2398,1796400
1982-06-03,2.2251,2.2474,2.1958,2.2327,1359000
1982-06-04,2.1888,2.2327,2.1373,2.1519,1927800
1982-06-07,2.0934,2.1156,2.0641,2.0934,1387800
1982-06-08,2.0348,2.0787,1.9909,2.0202,1832400
1982-06-09,1.9985,2.0348,1.9616,1.9616,3247200
1982-06-10,1.9985,2.0348,1.9616,1.9763,2754900
1982-06-11,2.0202,2.0424,1.9909,2.0202,3304800
1982-06-14,1.9763,2.0131,1.9323,1.9323,4736700
1982-06-15,1.9616,1.9763,1.9470,1.9763,1662300
1982-06-16,1.9763,1.9985,1.9470,1.9839,1773000
1982-06-17,1.9546,1.9839,1.9177,1.9323,3891600
1982-06-18,1.9031,1.9323,1.8662,1.8738,1819800
1982-06-21,1.8960,1.9177,1.8738,1.8738,1149300
1982-06-22,1.9031,1.9546,1.8445,1.9546,2377800
1982-06-23,1.9546,1.9763,1.9253,1.9763,1052100
1982-06-24,2.0055,2.0278,1.9763,1.9763,1432800
1982-06-25,1.9985,2.0202,1.9763,1.9985,535500
1982-06-28,1.9985,2.0055,1.9839,1.9985,373500
1982-06-29,1.9909,2.0131,1.9692,1.9909,1080000
1982-06-30,2.0055,2.0278,1.9839,1.9909,1343700
1982-07-01,1.9692,1.9909,1.9470,1.9616,2231100
1982-07-02,1.9323,1.9470,1.9107,1.9323,353700
1982-07-06,1.8662,1.9177,1.8152,1.8884,1067400
1982-07-07,1.8591,1.8884,1.8299,1.8299,2426400
1982-07-08,1.8884,1.9470,1.8222,1.9177,3788100
1982-07-09,1.9323,1.9616,1.9031,1.9177,2414700
1982-07-12,1.8960,1.9177,1.8738,1.9031,5817600
1982-07-13,1.9031,1.9399,1.8738,1.8884,2309400
1982-07-14,1.8960,1.9177,1.8738,1.9031,5817600
1982-07-15,1.9177,1.9253,1.9107,1.9253,5258700
1982-07-16,1.9253,1.9399,1.9107,1.9399,2407500
1982-07-19,1.9470,1.9616,1.9323,1.9399,729000
1982-07-20,1.9399,1.9546,1.9253,1.9253,1065600
1982-07-21,1.9546,1.9616,1.9399,1.9470,2344500
1982-07-22,1.9763,2.0131,1.9323,2.0131,2825100
1982-07-23,2.0278,2.0424,2.0055,2.0278,1725300
1982-07-26,1.9985,2.0202,1.9692,1.9763,655200
1982-07-27,1.9692,1.9763,1.9616,1.9763,2628900
1982-07-28,1.9470,1.9616,1.9323,1.9470,2241900
1982-07-29,1.9763,1.9985,1.9470,1.9839,2802600
1982-07-30,1.9839,1.9985,1.9616,1.9616,583200
1982-08-02,1.9985,2.0131,1.9763,1.9985,3060000
1982-08-03,2.0055,2.0278,1.9839,1.9839,851400
1982-08-04,1.9985,2.0131,1.9763,2.0055,1365300
1982-08-05,1.9763,1.9909,1.9616,1.9763,1467900
1982-08-06,1.9692,1.9839,1.9546,1.9616,827100
1982-08-09,1.9399,1.9616,1.9177,1.9323,1173600
1982-08-10,1.9323,1.9546,1.9107,1.9107,1104300
1982-08-11,1.9546,1.9909,1.9107,1.9909,1999800
1982-08-12,2.0202,2.0641,1.9763,2.0055,1404000
1982-08-13,2.0424,2.0717,2.0055,2.0717,783000
1982-08-16,2.0717,2.0934,2.0424,2.0424,773100
1982-08-17,2.1226,2.1595,2.0787,2.1595,2520900
1982-08-18,2.2251,2.3129,2.1303,2.1812,2708100
1982-08-19,2.1449,2.1812,2.1080,2.1080,897300
1982-08-20,2.1666,2.2105,2.1156,2.2105,1468800
1982-08-23,2.1812,2.2105,2.1449,2.1958,1809000
1982-08-24,2.2181,2.2398,2.1888,2.2105,1518300
1982-08-25,2.2105,2.2398,2.1812,2.1888,3152700
1982-08-26,2.2474,2.2983,2.1888,2.2620,1206000
1982-08-27,2.2251,2.2474,2.2034,2.2105,1261800
1982-08-30,2.2105,2.2251,2.1888,2.2034,994500
1982-08-31,2.2181,2.2544,2.1742,2.2544,1538100
1982-09-01,2.2327,2.2620,2.2034,2.2251,1389600
1982-09-02,2.1888,2.2327,2.1449,2.2251,2134800
1982-09-03,2.2181,2.2620,2.1666,2.1742,3523500
1982-09-07,2.1156,2.1373,2.0934,2.1156,1977300
1982-09-08,2.0863,2.1080,2.0641,2.0641,1879200
1982-09-09,2.0717,2.0787,2.0641,2.0717,1242000
1982-09-10,2.0641,2.0717,2.0494,2.0641,1122300
1982-09-13,2.1010,2.1449,2.0494,2.1449,516600
1982-09-14,2.1373,2.1519,2.1156,2.1156,639000
1982-09-15,2.1449,2.1958,2.0934,2.1958,1977300
1982-09-16,2.1888,2.2105,2.1595,2.1595,3915000
1982-09-17,2.1812,2.2105,2.1519,2.1519,885600
1982-09-20,2.1449,2.1595,2.1303,2.1519,791100
1982-09-21,2.1812,2.2034,2.1519,2.2034,1564200
1982-09-22,2.2474,2.2837,2.2034,2.2105,2683800
1982-09-23,2.2034,2.2181,2.1812,2.1958,1050300
1982-09-24,2.2034,2.2105,2.1888,2.2105,888300
1982-09-27,2.2251,2.2398,2.2034,2.2398,850500
1982-09-28,2.2474,2.2690,2.2251,2.2327,637200
1982-09-29,2.2181,2.2327,2.2034,2.2181,1419300
1982-09-30,2.2105,2.2251,2.1888,2.1958,630900
1982-10-01,2.2181,2.2544,2.1812,2.2544,1710900
1982-10-04,2.2620,2.2983,2.2251,2.2913,859500
1982-10-05,2.2837,2.2983,2.2620,2.2913,767700
1982-10-06,2.3352,2.3715,2.2913,2.3715,1665900
1982-10-07,2.4301,2.4740,2.3791,2.4669,3037500
1982-10-08,2.4669,2.5033,2.4301,2.4816,1383300
1982-10-11,2.5325,2.5694,2.4962,2.5325,2195100
1982-10-12,2.5325,2.5548,2.4816,2.5472,1688400
1982-10-13,2.5841,2.6426,2.5179,2.6057,1706400
1982-10-14,2.6133,2.6350,2.5911,2.5987,1208700
1982-10-15,2.5548,2.5764,2.5255,2.5401,2032200
1982-10-18,2.5401,2.6133,2.5325,2.6057,817200
1982-10-19,2.5841,2.6204,2.5472,2.5911,866700
1982-10-20,2.5694,2.5911,2.5472,2.5911,942300
1982-10-21,2.6496,2.6865,2.6133,2.6496,1361700
1982-10-22,2.5987,2.6280,2.5618,2.6057,2244600
1982-10-25,2.5325,2.5987,2.4593,2.4593,948600
1982-10-26,2.5033,2.5694,2.4301,2.5618,1147500
1982-10-27,2.5033,2.5472,2.4523,2.5033,873900
1982-10-28,2.4816,2.5033,2.4523,2.4740,555300
1982-10-29,2.4523,2.4886,2.4154,2.4740,1212300
1982-11-01,2.4523,2.4669,2.4301,2.4593,1039500
1982-11-02,2.5255,2.5764,2.4740,2.5472,1164600
1982-11-03,2.6204,2.7082,2.5325,2.7082,1597500
1982-11-04,2.7375,2.7960,2.6789,2.7012,2401200
1982-11-05,2.7668,2.8253,2.7012,2.8253,1604700
1982-11-08,2.7597,2.7960,2.7228,2.7304,1977300
1982-11-09,2.7668,2.8036,2.7304,2.7668,1512000
1982-11-10,2.8036,2.8399,2.7597,2.7744,1639800
1982-11-11,2.7744,2.8036,2.7375,2.8036,1164600
1982-11-12,2.8329,2.8476,2.8107,2.8107,1006200
1982-11-15,2.7890,2.8107,2.7668,2.7960,804600
1982-11-16,2.7814,2.8253,2.7375,2.8253,633600
1982-11-17,2.8329,2.8476,2.8107,2.8253,884700
1982-11-18,2.8183,2.8329,2.8036,2.8107,313200
1982-11-19,2.7890,2.8183,2.7597,2.7668,862200
1982-11-22,2.7451,2.7960,2.6936,2.7228,1496700
1982-11-23,2.7012,2.7375,2.6643,2.6789,1287000
1982-11-24,2.6280,2.6643,2.5911,2.6350,2166300
1982-11-26,2.5694,2.6350,2.5033,2.5911,1178100
1982-11-29,2.5548,2.6057,2.5033,2.5325,1032300
1982-11-30,2.6280,2.7228,2.5325,2.7228,1105200
1982-12-01,2.6719,2.7304,2.6057,2.6204,789300
1982-12-02,2.6426,2.6789,2.5987,2.6496,2011500
1982-12-03,2.7012,2.7375,2.6643,2.7012,691200
1982-12-06,2.7012,2.8036,2.6865,2.7960,849600
1982-12-07,2.7890,2.8253,2.7521,2.7521,1969200
1982-12-08,2.7668,2.8036,2.7304,2.7304,931500
1982-12-09,2.6789,2.7304,2.6204,2.6204,580500
1982-12-10,2.5548,2.6204,2.4886,2.4962,1918800
1982-12-13,2.5109,2.5325,2.4886,2.4962,1178100
1982-12-14,2.5109,2.5325,2.4886,2.5179,3229200
1982-12-15,2.5472,2.5841,2.5109,2.5472,1011600
1982-12-16,2.5033,2.5472,2.4593,2.4740,810900
1982-12-17,2.4962,2.5179,2.4740,2.5179,1262700
1982-12-20,2.4816,2.5033,2.4523,2.4593,609300
1982-12-21,2.4740,2.5179,2.4301,2.5033,721800
1982-12-22,2.5401,2.5841,2.4886,2.5548,1197000
1982-12-23,2.6204,2.6496,2.5911,2.6350,849600
1982-12-27,2.6496,2.6643,2.6350,2.6496,1510200
1982-12-28,2.6350,2.6496,2.6204,2.6350,1283400
1982-12-29,2.6057,2.6280,2.5841,2.5911,2007900
1982-12-30,2.5548,2.5841,2.5179,2.5548,725400
1982-12-31,2.5694,2.5911,2.5472,2.5911,193500
1983-01-03,2.5325,2.5548,2.5033,2.5033,1038600
1983-01-04,2.5255,2.5401,2.5033,2.5179,948600
1983-01-05,2.5401,2.5694,2.5033,2.5109,1707300
1983-01-06,2.5401,2.5618,2.5179,2.5548,2188800
1983-01-07,2.5325,2.5694,2.4886,2.5472,2857500
1983-01-10,2.5987,2.6204,2.5694,2.5987,1428300
1983-01-11,2.5987,2.6133,2.5764,2.6057,2412000
1983-01-12,2.6865,2.7451,2.6204,2.7082,1208700
1983-01-13,2.6719,2.6936,2.6426,2.6643,1253700
1983-01-14,2.6496,2.6936,2.6057,2.6643,1239300
1983-01-17,2.6133,2.6496,2.5764,2.5764,2043000
1983-01-18,2.5618,2.5618,2.4008,2.4669,3400200
1983-01-19,2.4523,2.4669,2.4301,2.4593,917100
1983-01-20,2.4301,2.4816,2.3791,2.4523,1988100
1983-01-21,2.4301,2.4593,2.3938,2.4084,716400
1983-01-24,2.3352,2.3569,2.3059,2.3129,1373400
1983-01-25,2.3129,2.3422,2.2837,2.3129,1715400
1983-01-26,2.2837,2.3206,2.2398,2.2398,1635300
1983-01-27,2.2620,2.2913,2.2327,2.2837,1766700
1983-01-28,2.2620,2.2983,2.2181,2.2398,1116000
1983-01-31,2.2690,2.3059,2.2251,2.3059,1836900
1983-02-01,2.2913,2.3129,2.2620,2.2620,2278800
1983-02-02,2.2544,2.2690,2.2398,2.2620,2288700
1983-02-03,2.2983,2.3352,2.2620,2.3276,1470600
1983-02-04,2.3498,2.3715,2.3276,2.3715,2121300
1983-02-07,2.3569,2.4008,2.3129,2.3938,1463400
1983-02-08,2.3645,2.4008,2.3276,2.3352,754200
1983-02-09,2.2544,2.2983,2.2034,2.2620,5403600
1983-02-10,2.3129,2.3352,2.2913,2.3206,2809800
1983-02-11,2.3645,2.3861,2.3352,2.3645,6250500
1983-02-14,2.3861,2.4301,2.3422,2.4230,2197800
1983-02-15,2.4523,2.4816,2.4154,2.4816,3636000
1983-02-16,2.4886,2.5109,2.4593,2.4886,2264400
1983-02-17,2.5325,2.5764,2.4816,2.5764,2357100
1983-02-18,2.5841,2.6350,2.5255,2.6350,4657500
1983-02-22,2.6719,2.6936,2.6426,2.6719,4330800
1983-02-23,2.6865,2.7082,2.6573,2.7082,3110400
1983-02-24,2.6865,2.7082,2.6643,2.6936,1982700
1983-02-25,2.6057,2.6865,2.5179,2.5764,4371300
1983-02-28,2.5255,2.5618,2.4886,2.5179,2099700
1983-03-01,2.5694,2.6350,2.5033,2.6280,3824100
1983-03-02,2.5987,2.6204,2.5764,2.6204,2260800
1983-03-03,2.6280,2.6426,2.6057,2.6350,2965500
1983-03-04,2.6573,2.6936,2.6204,2.6350,3045600
1983-03-07,2.6133,2.6280,2.5987,2.6204,877500
1983-03-08,2.5841,2.6204,2.5401,2.5618,898200
1983-03-09,2.5694,2.5911,2.5472,2.5764,537300
1983-03-10,2.5911,2.6204,2.5548,2.5987,1135800
1983-03-11,2.5841,2.6204,2.5472,2.5694,1038600
1983-03-14,2.5548,2.5764,2.5325,2.5472,601200
1983-03-15,2.5255,2.5694,2.4816,2.5694,1537200
1983-03-16,2.5911,2.6204,2.5548,2.6057,1077300
1983-03-17,2.6057,2.6350,2.5694,2.5841,2246400
1983-03-18,2.6426,2.6789,2.6057,2.6350,1575000
1983-03-21,2.6789,2.7082,2.6496,2.6936,1119600
1983-03-22,2.7082,2.7521,2.7012,2.7304,1368000
1983-03-23,2.7521,2.8692,2.7521,2.8546,1540800
1983-03-24,2.8399,2.8622,2.8107,2.8399,2044800
1983-03-25,2.8107,2.8476,2.7597,2.8107,2066400
1983-03-28,2.7597,2.8036,2.7375,2.7451,381600
1983-03-29,2.7597,2.7814,2.7451,2.7521,729900
1983-03-30,2.8036,2.8253,2.7814,2.7960,740700
1983-03-31,2.7960,2.8476,2.7960,2.8036,909000
1983-04-04,2.7890,2.7960,2.7521,2.7960,262800
1983-04-05,2.8399,2.8546,2.8036,2.8183,1064700
1983-04-06,2.8036,2.8036,2.7744,2.7744,1268100
1983-04-07,2.7890,2.8036,2.7814,2.7890,545400
1983-04-08,2.7890,2.8107,2.7744,2.8036,657900
1983-04-11,2.8036,2.8253,2.7814,2.8036,722700
1983-04-12,2.8183,2.8253,2.7521,2.7960,1197900
1983-04-13,2.7960,2.8183,2.7668,2.7890,1172700
1983-04-14,2.7890,2.9131,2.7744,2.8839,1716300
1983-04-15,2.9131,2.9424,2.8985,2.9278,2249100
1983-04-18,2.9278,2.9424,2.8985,2.9208,5827500
1983-04-19,2.9208,2.9278,2.8985,2.8985,1411200
1983-04-20,2.9061,2.9863,2.9061,2.9717,1532700
1983-04-21,3.0156,3.0156,2.9354,2.9424,1150200
1983-04-22,2.9500,2.9500,2.9131,2.9278,746100
1983-04-25,2.9061,2.9354,2.8692,2.8768,576000
1983-04-26,2.9278,2.9571,2.8915,2.9571,760500
1983-04-27,2.9647,3.0010,2.9208,2.9424,4080600
1983-04-28,2.9647,2.9863,2.9424,2.9717,1527300
1983-04-29,2.9647,2.9863,2.9354,2.9500,3043800
1983-05-02,2.8985,2.9500,2.8476,2.8622,1136700
1983-05-03,2.8622,2.8692,2.7960,2.8692,1467000
1983-05-04,2.9061,2.9131,2.8985,2.9131,1073700
1983-05-05,2.9208,2.9424,2.8985,2.9208,813600
1983-05-06,2.9354,2.9793,2.9278,2.9354,9065700
1983-05-09,2.9354,2.9500,2.9131,2.9131,747900
1983-05-10,2.9208,2.9208,2.8915,2.8985,2509200
1983-05-11,2.8839,2.8915,2.7960,2.8329,938700
1983-05-12,2.8329,2.8329,2.7375,2.7521,3081600
1983-05-13,2.7521,2.8183,2.7451,2.8036,3456900
1983-05-16,2.7960,2.7960,2.7597,2.7668,2332800
1983-05-17,2.7668,2.7814,2.7521,2.7744,2420100
1983-05-18,2.7744,2.8399,2.7744,2.8183,2327400
1983-05-19,2.8253,2.8329,2.7890,2.7890,1639800
1983-05-20,2.7814,2.7814,2.7304,2.7668,2959200
1983-05-23,2.7375,2.8329,2.7228,2.8107,2120400
1983-05-24,2.8546,2.8839,2.8476,2.8692,1147500
1983-05-25,2.8768,2.8839,2.8399,2.8692,2724300
1983-05-26,2.9278,2.9278,2.8692,2.8915,2057400
1983-05-27,2.8915,2.8915,2.8476,2.8546,1297800
1983-05-31,2.8399,2.8915,2.8399,2.8839,1474200
1983-06-01,2.8839,2.9208,2.8768,2.9061,2415600
1983-06-02,2.9208,2.9278,2.8546,2.8622,3438000
1983-06-03,2.8546,2.8622,2.8399,2.8399,1095300
1983-06-06,2.8036,2.8622,2.7960,2.8476,4672800
1983-06-07,2.8692,2.8985,2.8692,2.8768,940500
1983-06-08,2.8915,2.8915,2.8546,2.8622,368100
1983-06-09,2.8692,2.8915,2.8253,2.8476,3980700
1983-06-10,2.8476,2.8692,2.8107,2.8399,2783700
1983-06-13,2.8399,2.8692,2.8107,2.8692,2150100
1983-06-14,2.8622,2.8622,2.8107,2.8546,488700
1983-06-15,2.8622,2.8622,2.8107,2.8546,1746000
1983-06-16,2.8692,2.8915,2.8253,2.8915,1499400
1983-06-17,2.8768,2.8839,2.8329,2.8622,609300
1983-06-20,2.8546,2.8546,2.8107,2.8399,1023300
1983-06-21,2.8253,2.8329,2.7668,2.7960,3078000
1983-06-22,2.7814,2.8036,2.7597,2.7960,1684800
1983-06-23,2.7814,2.7960,2.7521,2.7814,566100
1983-06-24,2.7814,2.8399,2.7597,2.8253,743400
1983-06-27,2.8476,2.8622,2.7668,2.7890,684900
1983-06-28,2.7960,2.8036,2.7597,2.7814,465300
1983-06-29,2.7668,2.7890,2.7597,2.7890,465300
1983-06-30,2.8107,2.8476,2.8036,2.8183,489600
1983-07-01,2.8036,2.8107,2.7814,2.7890,711000
1983-07-05,2.7668,2.7814,2.7597,2.7597,477000
1983-07-06,2.7668,2.8399,2.7668,2.8399,598500
1983-07-07,2.8399,2.8622,2.8183,2.8253,928800
1983-07-08,2.8183,2.8476,2.8183,2.8399,377100
1983-07-11,2.8546,2.8692,2.8253,2.8399,495900
1983-07-12,2.8253,2.8399,2.7521,2.7744,1206000
1983-07-13,2.7890,2.7890,2.7228,2.7451,707400
1983-07-14,2.7451,2.7668,2.7375,2.7451,1023300
1983-07-15,2.7451,2.7451,2.6936,2.7158,956700
1983-07-18,2.7304,2.7890,2.7304,2.7451,622800
1983-07-19,2.7521,2.7814,2.7451,2.7597,932400
1983-07-20,2.7744,2.8036,2.7597,2.7890,1873800
1983-07-21,2.7960,2.8036,2.7375,2.7597,1273500
1983-07-22,2.7451,2.7668,2.7228,2.7597,581400
1983-07-25,2.7744,2.8692,2.7451,2.8253,873000
1983-07-26,2.8107,2.8107,2.7521,2.7814,557100
1983-07-27,2.5179,2.5694,2.4962,2.5033,6727500
1983-07-28,2.4886,2.5033,2.4301,2.4740,7978500
1983-07-29,2.4377,2.4523,2.3422,2.4154,4424400
1983-08-01,2.4008,2.4740,2.3861,2.4377,2729700
1983-08-02,2.4593,2.4740,2.4154,2.4377,1534500
1983-08-03,2.4523,2.4593,2.4154,2.4301,3186900
1983-08-04,2.4230,2.4230,2.3422,2.3498,3270600
1983-08-05,2.3498,2.3569,2.3206,2.3422,4544100
1983-08-08,2.3129,2.3352,2.3129,2.3276,1408500
1983-08-09,2.3206,2.3422,2.3129,2.3352,2888100
1983-08-10,2.3276,2.4230,2.3129,2.4154,1584900
1983-08-11,2.4154,2.4154,2.3715,2.3861,776700
1983-08-12,2.3861,2.4230,2.3715,2.4154,897300
1983-08-15,2.4301,2.4962,2.4301,2.4301,2246400
1983-08-16,2.4377,2.4669,2.4301,2.4447,1214100
1983-08-17,2.4593,2.5179,2.4593,2.4886,6282900
1983-08-18,2.5033,2.5109,2.4740,2.4816,612900
1983-08-19,2.4447,2.4523,2.3938,2.4301,1166400
1983-08-22,2.4377,2.4447,2.3569,2.3861,918900
1983-08-23,2.3422,2.3715,2.3276,2.3498,1400400
1983-08-24,2.3352,2.3645,2.3352,2.3569,747000
1983-08-25,2.3569,2.3791,2.3422,2.3791,587700
1983-08-26,2.4008,2.4301,2.3791,2.4301,1226700
1983-08-29,2.4084,2.4084,2.3715,2.3938,562500
1983-08-30,2.4230,2.4593,2.4008,2.4154,672300
1983-08-31,2.4154,2.4740,2.4008,2.4593,970200
1983-09-01,2.4669,2.5033,2.4669,2.4669,1646100
1983-09-02,2.4377,2.4886,2.4377,2.4740,10271700
1983-09-06,2.5179,2.5987,2.5109,2.5987,1510200
1983-09-07,2.5618,2.5694,2.4962,2.5179,3297600
1983-09-08,2.5255,2.5841,2.5109,2.5472,934200
1983-09-09,2.5548,2.5694,2.5401,2.5548,917100
1983-09-12,2.5987,2.6057,2.5179,2.5401,1967400
1983-09-13,2.5548,2.5841,2.5548,2.5764,607500
1983-09-14,2.5764,2.5911,2.5764,2.5911,1230300
1983-09-15,2.5764,2.5764,2.5033,2.5033,1629000
1983-09-16,2.5033,2.5401,2.4886,2.5033,1395900
1983-09-19,2.5109,2.5472,2.4962,2.5325,590400
1983-09-20,2.5472,2.5694,2.5255,2.5472,1080000
1983-09-21,2.5548,2.5618,2.5325,2.5401,1619100
1983-09-22,2.5325,2.5548,2.5325,2.5548,1693800
1983-09-23,2.5548,2.5694,2.5179,2.5694,792000
1983-09-26,2.6057,2.6280,2.5618,2.5764,2339100
1983-09-27,2.5911,2.5911,2.5618,2.5618,885600
1983-09-28,2.5694,2.5841,2.5548,2.5841,604800
1983-09-29,2.5841,2.6057,2.5764,2.5911,780300
1983-09-30,2.5841,2.5911,2.5764,2.5911,1088100
1983-10-03,2.5764,2.5911,2.5694,2.5694,1120500
1983-10-04,2.5841,2.6057,2.5764,2.6057,953100
1983-10-05,2.6057,2.6865,2.5764,2.6719,1479600
1983-10-06,2.6936,2.7158,2.6643,2.7158,1034100
1983-10-07,2.7158,2.7597,2.6936,2.7521,1630800
1983-10-10,2.7521,2.7668,2.7158,2.7668,690300
1983-10-11,2.7521,2.7521,2.7158,2.7228,1205100
1983-10-12,2.7082,2.7158,2.6643,2.6719,774900
1983-10-13,2.6573,2.6789,2.6496,2.6573,657000
1983-10-14,2.6719,2.7012,2.6573,2.7012,847800
1983-10-17,2.6865,2.7451,2.6865,2.7228,2037600
1983-10-18,2.7228,2.7228,2.6426,2.6719,2315700
1983-10-19,2.6643,2.6719,2.6426,2.6573,2601900
1983-10-20,2.6573,2.6719,2.6573,2.6643,1014300
1983-10-21,2.6643,2.6643,2.6280,2.6426,1710000
1983-10-24,2.6573,2.6573,2.6057,2.6426,1508400
1983-10-25,2.6426,2.6573,2.6133,2.6350,507600
1983-10-26,2.6426,2.6496,2.6204,2.6426,1258200
1983-10-27,2.6496,2.6936,2.6204,2.6865,2412900
1983-10-28,2.6936,2.7012,2.6573,2.6719,1263600
1983-10-31,2.6865,2.6865,2.6496,2.6789,804600
1983-11-01,2.6936,2.7082,2.6643,2.7082,1752300
1983-11-02,2.7082,2.7228,2.6865,2.6865,1194300
1983-11-03,2.6865,2.6865,2.6280,2.6280,484200
1983-11-04,2.6280,2.6573,2.5841,2.6426,856800
1983-11-07,2.6573,2.6573,2.6280,2.6426,529200
1983-11-08,2.6204,2.6280,2.5764,2.5764,873900
1983-11-09,2.5911,2.6573,2.5911,2.6573,501300
1983-11-10,2.6719,2.6719,2.6133,2.6133,1282500
1983-11-11,2.6280,2.6280,2.5694,2.6057,2141100
1983-11-14,2.6057,2.6057,2.5548,2.5548,1180800
1983-11-15,2.5548,2.5618,2.5179,2.5179,2359800
1983-11-16,2.5401,2.5472,2.5033,2.5255,1149300
1983-11-17,2.5325,2.5325,2.5109,2.5109,615600
1983-11-18,2.5109,2.5255,2.5033,2.5179,1179000
1983-11-21,2.5033,2.5401,2.4962,2.5179,983700
1983-11-22,2.5325,2.5911,2.5325,2.5764,1224900
1983-11-23,2.5911,2.5987,2.5764,2.5987,1448100
1983-11-25,2.6133,2.6280,2.5841,2.6204,497700
1983-11-28,2.6204,2.6280,2.5987,2.6133,951300
1983-11-29,2.6057,2.6280,2.6057,2.6280,262800
1983-11-30,2.6133,2.6496,2.6133,2.6350,758700
1983-12-01,2.6350,2.7012,2.6204,2.7012,2511000
1983-12-02,2.7012,2.7228,2.6719,2.6789,5126400
1983-12-05,2.6426,2.6789,2.6350,2.6719,1420200
1983-12-06,2.6643,2.6789,2.6643,2.6643,1872000
1983-12-07,2.6643,2.6789,2.6643,2.6719,1287900
1983-12-08,2.6643,2.6789,2.6496,2.6496,1085400
1983-12-09,2.6573,2.6865,2.6496,2.6719,2829600
1983-12-12,2.6719,2.6789,2.6643,2.6789,838800
1983-12-13,2.6719,2.6719,2.6496,2.6573,1021500
1983-12-14,2.6426,2.6719,2.6280,2.6280,640800
1983-12-15,2.6133,2.6204,2.5911,2.5987,960300
1983-12-16,2.5841,2.5911,2.5401,2.5472,1207800
1983-12-19,2.5325,2.5764,2.5325,2.5548,722700
1983-12-20,2.5548,2.5548,2.5472,2.5472,951300
1983-12-21,2.5325,2.5401,2.5033,2.5179,1759500
1983-12-22,2.5325,2.5694,2.5325,2.5548,2259000
1983-12-23,2.5472,2.5764,2.5472,2.5764,946800
1983-12-27,2.5764,2.5841,2.5618,2.5764,630000
1983-12-28,2.5548,2.5764,2.5548,2.5764,835200
1983-12-29,2.5764,2.5911,2.5694,2.5764,767700
1983-12-30,2.5618,2.5764,2.5548,2.5618,1293300
1984-01-03,2.5618,2.5618,2.5255,2.5548,696600
