"MacroTrends Data Download"
"AU - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1998-08-05,13.7898,14.0753,13.6276,13.8742,107900
1998-08-06,13.8287,14.1532,13.7898,14.1143,90700
1998-08-07,14.1143,14.3609,14.1143,14.2765,89800
1998-08-10,14.3609,14.4387,14.3154,14.4387,73300
1998-08-11,13.7898,13.9520,13.7119,13.9520,101500
1998-08-12,13.7898,13.9520,13.4653,13.4653,69200
1998-08-13,12.6152,13.1019,12.6152,12.9786,61500
1998-08-14,13.0630,13.2252,12.9786,13.1798,28700
1998-08-17,13.2642,13.2642,13.0630,13.2252,40000
1998-08-18,13.1409,13.2252,13.0630,13.1409,20100
1998-08-19,13.1409,13.1409,12.8164,12.8164,58000
1998-08-20,12.9397,12.9786,12.4919,12.8164,76700
1998-08-21,12.7385,12.9786,12.6542,12.9397,102700
1998-08-24,12.9008,12.9008,12.3686,12.8164,73500
1998-08-25,12.2518,12.6542,12.2064,12.2518,53200
1998-08-26,11.9274,11.9274,11.3563,11.3952,112300
1998-08-27,11.0318,11.1162,10.7074,10.9085,98400
1998-08-28,10.7463,11.1162,10.3829,10.5841,109400
1998-08-31,11.1422,11.1422,10.4218,10.5451,117300
1998-09-01,11.3563,12.1285,11.2784,12.1285,109600
1998-09-02,11.7197,12.1285,11.5575,12.0052,45700
1998-09-03,11.7651,13.4264,11.7197,13.3875,246900
1998-09-04,13.1798,14.6010,13.1798,14.1143,214700
1998-09-08,14.2765,14.6010,12.9786,13.6276,150700
1998-09-09,13.5043,13.6276,13.2642,13.5886,52400
1998-09-10,14.5231,15.6133,14.4387,15.1720,308300
1998-09-11,15.6133,15.8209,14.6853,14.6853,217700
1998-09-14,14.6010,14.6010,13.8287,14.2765,97000
1998-09-15,14.4387,14.5620,14.3609,14.4387,29300
1998-09-16,14.2765,14.4387,13.6276,13.6665,148500
1998-09-17,14.4387,14.7243,14.2765,14.6010,74000
1998-09-18,14.6010,14.6010,14.1143,14.3609,35400
1998-09-21,14.6853,14.6853,14.3609,14.3998,99000
1998-09-22,14.1143,14.2765,13.9910,13.9910,46800
1998-09-23,13.9910,13.9910,13.4653,13.7898,136400
1998-09-24,13.9520,15.4121,13.9520,15.3732,276000
1998-09-25,16.2233,16.4699,15.8599,16.3076,348100
1998-09-28,15.8988,17.0734,15.8209,17.0345,299000
1998-09-29,17.1188,17.4433,17.1188,17.2810,133200
1998-09-30,17.1967,17.6055,16.9566,17.4433,173900
1998-10-01,18.1701,18.9812,17.6834,18.9034,489000
1998-10-02,18.9812,19.2278,18.6957,18.9812,491300
1998-10-05,18.4945,18.4945,17.4433,17.5211,166500
1998-10-06,17.3589,18.0922,17.2356,18.0078,140400
1998-10-07,18.4945,19.6302,18.4945,19.5069,299000
1998-10-08,20.1169,20.1169,19.3446,19.5523,417100
1998-10-09,19.1435,19.1435,18.0078,18.2090,169400
1998-10-12,17.9689,17.9689,16.2622,16.5478,235600
1998-10-13,16.7100,16.8722,16.2622,16.3076,277300
1998-10-14,16.2622,16.4699,16.1454,16.1844,168100
1998-10-15,16.5867,16.8722,15.9832,16.3466,270800
1998-10-16,17.3589,17.3589,16.4699,16.9112,198400
1998-10-19,16.7489,16.7943,16.3076,16.3855,67600
1998-10-20,16.5478,16.7100,16.4699,16.5478,96600
1998-10-21,16.5478,16.6710,16.5088,16.5478,20300
1998-10-22,15.9832,16.1000,15.8988,15.9832,58900
1998-10-23,16.1454,16.1454,15.9832,15.9832,22700
1998-10-26,15.8988,15.9832,15.8599,15.8988,84900
1998-10-27,16.3076,16.7943,16.3076,16.7943,189100
1998-10-28,16.6321,16.6710,16.4245,16.5867,41700
1998-10-29,16.6710,16.8333,16.4699,16.5867,93200
1998-10-30,16.5088,16.5088,16.1844,16.2233,73500
1998-11-02,15.9832,16.2622,15.8988,15.9832,46200
1998-11-03,15.7366,15.7366,15.2888,15.5744,128300
1998-11-04,15.5744,16.0611,15.2499,15.8599,248100
1998-11-05,16.0221,16.3076,15.5744,15.9378,315100
1998-11-06,15.9378,16.1844,15.6587,15.6587,220100
1998-11-09,15.6133,15.6133,15.4121,15.5744,30900
1998-11-10,15.2888,15.5744,15.1720,15.3732,48400
1998-11-11,15.2499,15.3343,14.9254,14.9254,87500
1998-11-12,14.9254,15.5744,14.6853,15.5354,187900
1998-11-13,15.7366,16.0611,15.4121,15.4511,117000
1998-11-16,15.5354,15.6587,15.3343,15.5744,78900
1998-11-17,15.4511,15.7366,15.4121,15.6133,15500
1998-11-18,16.0611,16.5478,16.0221,16.2233,215800
1998-11-19,16.7943,16.7943,16.1000,16.1454,111500
1998-11-20,16.3466,16.3466,15.8599,15.8599,68800
1998-11-23,15.8209,15.8599,15.5744,15.6977,119100
1998-11-24,15.8988,15.8988,15.6587,15.6587,60900
1998-11-25,15.6522,15.8988,15.5744,15.8209,72800
1998-11-27,15.6587,15.7755,15.6133,15.7755,32500
1998-11-30,15.6587,15.6587,14.6399,14.6399,254900
1998-12-01,14.7632,15.0098,14.1143,14.2765,159700
1998-12-02,14.2765,14.2765,13.6665,13.8287,109300
1998-12-03,13.5886,13.8742,13.5497,13.6665,78400
1998-12-04,13.5043,13.5886,12.5763,12.7385,164200
1998-12-07,13.0630,13.3875,13.0630,13.1798,262600
1998-12-08,13.2252,13.2252,12.6542,12.6931,174000
1998-12-09,12.7385,12.9786,12.7385,12.8553,181500
1998-12-10,13.1798,13.4653,13.1798,13.4653,195400
1998-12-11,13.0630,13.1019,12.7775,12.9008,110400
1998-12-14,12.8164,13.1019,12.8164,12.9397,53200
1998-12-15,13.3420,13.3875,13.0630,13.0630,86300
1998-12-16,13.4264,13.7119,13.3031,13.6665,116500
1998-12-17,14.1986,14.1986,13.3031,13.3875,122600
1998-12-18,12.9786,13.5043,12.9786,13.2642,89300
1998-12-21,13.2642,13.2642,12.6542,12.7775,214800
1998-12-22,12.8164,12.8164,12.0896,12.1675,202300
1998-12-23,12.2518,12.6152,11.8430,12.6152,320300
1998-12-24,12.6152,12.8553,12.6152,12.8553,30800
1998-12-28,12.8553,12.9786,12.4141,12.4530,59700
1998-12-29,12.5763,12.7775,12.5309,12.6542,99300
1998-12-30,12.6931,12.9008,12.4141,12.4141,76800
1998-12-31,12.4141,12.7775,12.4141,12.6931,47400
1999-01-04,12.9397,12.9397,12.5763,12.6931,83800
1999-01-05,12.8553,13.1798,12.8164,13.0630,29300
1999-01-06,13.5497,14.1143,13.5497,14.0364,101500
1999-01-07,14.0753,14.6010,14.0753,14.4777,134100
1999-01-08,14.3154,14.3154,14.0364,14.1143,171400
1999-01-11,13.9910,14.5620,13.9520,14.3738,251100
1999-01-12,14.4387,14.4387,13.9910,14.1143,171600
1999-01-13,13.7898,13.9520,13.5886,13.8287,61100
1999-01-14,13.6665,13.7119,13.4653,13.5886,83200
1999-01-15,13.5497,14.2376,13.5497,14.1986,84400
1999-01-19,14.1143,14.1143,13.7509,13.9520,106100
1999-01-20,13.6665,13.7509,13.5497,13.6276,156100
1999-01-21,13.7119,13.7898,13.5497,13.6276,146700
1999-01-22,13.5497,13.5497,13.2252,13.2252,156800
1999-01-25,13.2252,13.4264,13.2252,13.2252,212900
1999-01-26,13.2642,13.3031,12.9397,13.0630,147300
1999-01-27,13.4264,13.4264,12.8164,12.9008,116000
1999-01-28,12.8164,13.0630,12.6931,12.9008,98600
1999-01-29,13.1409,13.1409,12.9008,12.9786,207500
1999-02-01,13.4653,13.4653,13.1409,13.2252,152800
1999-02-02,12.9786,13.3420,12.9786,13.2642,86100
1999-02-03,13.1019,13.1409,12.9008,12.9397,35700
1999-02-04,13.1409,13.3031,12.9397,13.2252,164000
1999-02-05,13.2642,13.3875,13.1798,13.2252,70400
1999-02-08,13.3031,13.7119,13.2252,13.4653,98700
1999-02-09,13.2642,13.2642,12.9786,12.9786,50900
1999-02-10,13.0630,13.0630,12.4919,12.9462,91500
1999-02-11,12.8164,12.9786,12.7385,12.7775,114300
1999-02-12,13.0630,13.0630,12.6152,12.6931,65000
1999-02-16,12.4530,12.5309,12.3297,12.5309,100200
1999-02-17,12.6636,12.8312,12.5764,12.7440,190600
1999-02-18,12.9117,13.0392,12.8715,12.9989,17900
1999-02-19,12.9117,12.9989,12.7440,12.9117,70500
1999-02-22,12.9117,12.9117,12.2812,12.4489,37000
1999-02-23,12.4959,12.5361,12.3282,12.3684,54100
1999-02-24,12.2812,12.4087,12.1135,12.1135,63600
1999-02-25,12.2812,12.4489,12.1605,12.4489,75400
1999-02-26,12.4087,12.4087,12.1605,12.1605,27400
1999-03-01,12.4087,12.5361,12.2812,12.3684,69000
1999-03-02,12.6636,12.9117,12.6636,12.7440,75000
1999-03-03,12.7843,13.0392,12.7843,13.0392,63200
1999-03-04,13.3745,13.6227,13.3745,13.6227,52900
1999-03-05,13.4550,13.6697,13.4550,13.5422,29400
1999-03-08,13.8373,14.2130,13.7501,14.1727,69000
1999-03-09,14.2934,14.6758,14.2532,14.5483,221600
1999-03-10,14.2532,14.5886,14.2532,14.5081,35100
1999-03-11,15.0514,15.3465,14.7965,15.2191,121600
1999-03-12,14.6758,14.6758,14.3806,14.3806,66800
1999-03-15,13.9178,13.9178,13.5020,13.5020,37800
1999-03-16,13.6697,13.6697,12.9117,13.3745,147200
1999-03-17,13.5422,13.5825,13.0794,13.2873,45000
1999-03-18,13.1666,13.1666,12.9989,12.9989,65200
1999-03-19,12.9989,13.0794,12.8715,12.9520,32200
1999-03-22,13.0392,13.0392,12.8312,12.9117,46400
1999-03-23,12.9117,12.9989,12.7843,12.9117,48400
1999-03-24,13.0392,13.0392,12.8312,12.9989,38100
1999-03-25,12.9989,13.2069,12.9989,13.1197,74000
1999-03-26,13.1197,13.1197,12.6636,12.7440,82200
1999-03-29,12.8715,12.8715,12.5764,12.8312,96800
1999-03-30,13.0794,13.0794,12.9117,13.0794,115100
1999-03-31,13.0794,13.5020,13.0794,13.5020,79100
1999-04-01,13.5422,13.6697,13.4148,13.5020,81400
1999-04-05,13.4550,13.5020,13.3343,13.3343,65200
1999-04-06,13.2069,13.4550,13.1197,13.4148,55500
1999-04-07,13.2873,13.4148,13.2471,13.3343,81900
1999-04-08,13.4148,13.4148,13.1666,13.3343,28900
1999-04-09,13.3343,13.3745,12.9989,13.2069,40300
1999-04-12,13.4550,13.5020,13.3343,13.3745,43200
1999-04-13,13.3745,13.7099,13.3745,13.6227,119700
1999-04-14,13.7501,13.7904,13.3343,13.4148,77900
1999-04-15,13.8776,14.5886,13.8776,14.5483,290900
1999-04-16,15.2996,15.6349,15.2191,15.5544,201700
1999-04-19,15.7221,15.7221,15.4270,15.4672,232300
1999-04-20,15.4270,15.5947,15.2593,15.2996,81400
1999-04-21,14.6758,14.7965,14.5081,14.7563,63000
1999-04-22,14.4611,14.7160,14.4611,14.6758,76000
1999-04-23,14.7160,14.7160,14.4611,14.5081,36100
1999-04-26,14.5886,14.5886,14.1258,14.1258,59900
1999-04-27,14.2130,14.3806,14.1727,14.3806,162200
1999-04-28,14.5081,15.2593,14.4611,15.2593,142600
1999-04-29,15.2191,15.7624,15.0514,15.7221,280000
1999-04-30,15.8026,16.1380,15.7221,16.0172,207200
1999-05-03,15.8496,16.3929,15.7624,16.3929,85400
1999-05-04,16.0575,16.0575,15.2996,15.6349,79100
1999-05-05,15.3868,16.3929,15.3868,16.2654,288600
1999-05-06,16.0977,16.3057,16.0977,16.1849,286400
1999-05-07,15.2996,15.4270,15.1319,15.3868,285200
1999-05-10,14.7563,14.7563,14.1727,14.2130,220400
1999-05-11,14.3806,14.7563,14.3404,14.4611,146300
1999-05-12,14.4209,14.5886,14.3806,14.4611,38900
1999-05-13,14.5081,14.6758,14.3806,14.4209,79800
1999-05-14,14.3404,14.6288,14.3404,14.5081,113200
1999-05-17,14.6758,14.6758,14.2934,14.3404,58000
1999-05-18,14.2934,14.4209,13.9178,13.9581,118200
1999-05-19,13.5825,13.8373,13.5020,13.6227,101600
1999-05-20,13.9581,14.0050,13.8373,13.8776,107100
1999-05-21,13.8373,13.8776,13.5422,13.5422,130600
1999-05-24,13.2471,13.3745,13.0794,13.1197,226100
1999-05-25,13.1197,13.1197,12.6636,12.7843,139500
1999-05-26,12.7038,13.0392,12.6636,12.8312,153700
1999-05-27,12.6636,13.3343,12.5764,13.3343,219100
1999-05-28,13.3745,13.5020,13.1666,13.5020,119100
1999-06-01,13.2471,13.2873,13.0392,13.2471,74100
1999-06-02,13.5020,13.5020,13.0392,13.2069,41700
1999-06-03,13.0392,13.3745,12.9520,13.2069,60000
1999-06-04,13.1197,13.1666,12.9117,13.0794,32500
1999-06-07,13.2069,13.2069,12.9520,13.1197,48800
1999-06-08,12.8312,12.8715,12.6166,12.6166,127100
1999-06-09,12.4959,12.7440,12.4959,12.6166,84100
1999-06-10,12.6166,12.9989,12.5764,12.7440,117900
1999-06-11,12.7440,13.0794,12.7440,13.0794,47200
1999-06-14,13.1197,13.1197,12.7843,12.9117,45100
1999-06-15,12.9117,12.9117,12.4959,12.4959,59900
1999-06-16,12.4087,12.7038,12.4087,12.6166,53600
1999-06-17,12.8312,12.8312,12.6636,12.8312,31600
1999-06-18,12.9520,12.9989,12.7440,12.8715,88000
1999-06-21,12.8715,12.9520,12.6166,12.6636,36900
1999-06-22,12.7038,12.8312,12.6166,12.7440,57000
1999-06-23,12.7440,13.3745,12.7440,13.3343,79900
1999-06-24,13.3343,13.6697,13.2873,13.4148,113500
1999-06-25,13.5422,13.6697,13.2873,13.4550,56400
1999-06-28,13.7904,14.1727,13.7904,14.1258,86100
1999-06-29,14.4209,14.4209,14.2532,14.3404,102600
1999-06-30,14.2934,14.4209,14.2532,14.4209,93200
1999-07-01,14.5886,14.6758,14.5483,14.6758,64200
1999-07-02,14.6288,14.7563,14.6288,14.7563,49600
1999-07-06,14.4611,14.4611,13.5422,13.6697,227900
1999-07-07,13.7904,13.7904,13.5422,13.7501,114200
1999-07-08,14.0855,14.0855,13.7904,13.9178,97800
1999-07-09,14.2532,14.2532,13.8776,13.9581,124700
1999-07-12,13.7904,14.0453,13.6227,13.6227,88900
1999-07-13,13.3343,13.3343,12.9520,13.2471,134600
1999-07-14,13.1197,13.1197,12.8312,12.9520,72400
1999-07-15,12.8715,12.9520,12.7440,12.8715,32000
1999-07-16,13.1666,13.3745,12.7843,12.9989,93100
1999-07-19,12.9520,13.0392,12.8312,12.8715,62600
1999-07-20,12.9520,13.5020,12.9520,13.4148,82100
1999-07-21,13.3745,13.7501,13.3745,13.6227,87100
1999-07-22,13.7904,14.6758,13.6697,14.0453,155600
1999-07-23,13.9581,14.0453,13.7099,13.7904,29800
1999-07-26,13.8776,13.8776,13.5422,13.5825,75700
1999-07-27,13.6227,13.7099,13.5020,13.6227,41800
1999-07-28,13.5020,13.7904,13.5020,13.7904,26000
1999-07-29,13.6697,14.4209,13.6697,14.3404,181500
1999-07-30,14.2934,14.3806,13.8776,14.1727,53400
1999-08-02,14.1727,14.2130,13.9178,14.0855,38400
1999-08-03,14.2934,14.8435,14.2934,14.7563,163600
1999-08-04,15.0111,15.3868,14.9642,15.2996,328400
1999-08-05,15.2996,15.4270,15.1788,15.2593,449400
1999-08-06,15.3465,15.4270,15.2191,15.3465,53600
1999-08-09,15.3868,15.8898,15.3465,15.8898,137300
1999-08-10,16.4733,16.7282,16.4733,16.6880,288400
1999-08-11,17.4392,18.3648,17.3587,18.1502,495800
1999-08-12,17.7746,17.8618,17.4392,17.6069,209900
1999-08-13,17.4392,17.5063,17.2313,17.4392,118100
1999-08-16,17.1441,17.1910,16.8557,17.1038,101400
1999-08-17,17.4392,17.8618,17.4392,17.8148,146700
1999-08-18,17.9409,18.0720,17.7683,17.7683,253000
1999-08-19,17.2094,17.4233,17.0369,17.1680,304200
1999-08-20,17.2508,17.2508,17.0369,17.0783,234200
1999-08-23,16.9058,17.0783,16.8644,16.9955,73100
1999-08-24,16.6022,17.2508,16.6022,17.0783,143600
1999-08-25,16.7747,16.8644,16.7333,16.7333,82900
1999-08-26,16.7747,17.0369,16.7747,16.9472,113900
1999-08-27,16.9058,17.2922,16.9058,17.2508,32100
1999-08-30,17.0783,17.5958,17.0783,17.4647,122800
1999-08-31,17.3819,17.9409,17.3819,17.8580,192100
1999-09-01,17.8097,17.8097,17.4647,17.7269,85500
1999-09-02,17.5544,18.2031,17.4647,17.9823,79200
1999-09-03,18.0720,18.1548,17.8580,17.9823,111400
1999-09-07,18.1548,18.6309,18.1548,18.5481,141500
1999-09-08,18.5895,18.8034,18.4584,18.5481,162500
1999-09-09,18.8034,19.0656,18.7620,18.8931,65300
1999-09-10,18.7620,18.8034,18.2859,18.7206,172200
1999-09-13,18.8034,18.8448,18.4998,18.7620,99300
1999-09-14,18.8448,19.0656,18.8448,18.9345,150100
1999-09-15,18.8034,18.8034,18.2445,18.2445,114600
1999-09-16,18.0720,18.0720,17.8097,17.9409,92600
1999-09-17,18.0306,18.0306,17.0783,17.2508,276500
1999-09-20,17.0783,17.5544,17.0783,17.2922,112100
1999-09-21,17.7683,18.3273,17.7683,18.3273,275100
1999-09-22,18.8931,19.1898,18.7620,18.8931,259300
1999-09-23,18.7206,19.0173,18.5481,18.5895,86700
1999-09-24,18.8034,20.0110,18.8034,19.9695,343000
1999-09-27,21.0460,23.9372,21.0460,23.7233,877400
1999-09-28,24.8412,25.5312,23.4611,23.8061,1382600
1999-09-29,23.3783,23.4197,21.9982,23.1575,638500
1999-09-30,22.0810,22.5158,21.4324,21.6946,432000
1999-10-01,22.2536,22.4675,21.7360,22.0396,230300
1999-10-04,22.7711,23.4197,22.5158,23.1161,373900
1999-10-05,23.2886,23.6750,22.4675,22.7297,589400
1999-10-06,22.2122,22.6883,21.6946,21.9499,153800
1999-10-07,21.9499,22.1708,21.4324,21.4324,144200
1999-10-08,21.2599,21.5221,20.5699,20.7010,337600
1999-10-11,20.0524,20.5699,19.7970,20.4871,323200
1999-10-12,20.6182,20.7907,20.3560,20.3560,191800
1999-10-13,20.6596,20.8735,20.6182,20.6596,211500
1999-10-14,20.5699,20.7010,19.4520,19.8384,248700
1999-10-15,19.7970,20.0110,19.6245,19.8384,197500
1999-10-18,19.9695,20.1835,19.9695,20.0524,142800
1999-10-19,19.7970,19.8798,19.0656,19.4520,301600
1999-10-20,19.6245,19.6245,19.2381,19.2795,121200
1999-10-21,18.8034,18.8034,17.9823,18.6309,282500
1999-10-22,18.1134,18.2031,17.4233,17.7269,145200
1999-10-25,17.5544,17.9409,17.3405,17.8580,430400
1999-10-26,17.6855,17.7269,17.0783,17.1197,530100
1999-10-27,17.5544,17.8580,17.5130,17.6855,396300
1999-10-28,18.6309,18.9759,18.1134,18.6309,475100
1999-10-29,18.9759,19.4934,18.9759,19.3623,515300
1999-11-01,19.0173,19.0173,18.5481,18.6309,247600
1999-11-02,18.6723,18.8448,18.6309,18.8448,420700
1999-11-03,18.8931,19.3209,18.8448,19.0173,190600
1999-11-04,19.3623,19.5831,19.3209,19.4934,133300
1999-11-05,19.8798,19.9695,19.6659,19.7556,328100
1999-11-08,19.4520,19.6245,19.2795,19.5831,224600
1999-11-09,19.4106,19.9695,19.0656,19.7556,267600
1999-11-10,19.7556,20.1421,19.7556,20.1007,426400
1999-11-11,19.9695,19.9695,19.7970,19.8384,155600
1999-11-12,19.6659,19.9281,19.5831,19.7556,121700
1999-11-15,19.6659,19.7556,19.6245,19.7556,140600
1999-11-16,19.7556,19.7970,19.3209,19.6245,280800
1999-11-17,19.6245,19.7970,19.5348,19.5831,292600
1999-11-18,19.6659,19.6659,19.3209,19.3209,223200
1999-11-19,19.3209,19.3623,19.0656,19.0656,151100
1999-11-22,18.8448,18.8448,18.1134,18.4584,396400
1999-11-23,18.8034,19.0656,18.7206,19.0173,342300
1999-11-24,19.1484,19.2795,18.9345,19.2795,370000
1999-11-26,19.0656,19.0656,18.9759,19.0656,209800
1999-11-29,18.4584,18.4584,17.7269,18.1134,440500
1999-11-30,18.0306,18.0306,17.6372,17.7269,166000
1999-12-01,17.7269,17.8097,17.3819,17.4233,286800
1999-12-02,17.3819,17.5130,16.9472,17.1197,349900
1999-12-03,17.1680,17.4647,17.1680,17.3819,201600
1999-12-06,16.9058,17.0783,16.8644,16.9472,310800
1999-12-07,16.9472,17.3819,16.9058,17.2508,310200
1999-12-08,17.0783,17.3819,16.9472,17.0783,193600
1999-12-09,16.9472,16.9472,16.4780,16.4780,348800
1999-12-10,16.5194,16.7333,16.3883,16.3883,201400
1999-12-13,16.2572,16.4780,16.2572,16.4297,257000
1999-12-14,16.5194,16.5194,16.3469,16.3883,69400
1999-12-15,16.5194,16.9058,16.5194,16.7747,342600
1999-12-16,16.5194,16.8230,16.4297,16.6505,225600
1999-12-17,17.4647,17.4647,17.4647,17.4647,296100
1999-12-20,17.8097,17.8097,17.1680,17.1680,234400
1999-12-21,17.6372,18.2445,17.4647,17.8580,266700
1999-12-22,18.0306,18.0306,17.2922,17.5958,117800
1999-12-23,17.6372,18.1134,17.6372,17.7269,183300
1999-12-27,17.7269,17.8995,17.5544,17.8097,111200
1999-12-28,17.8995,17.8995,17.3819,17.5130,129500
1999-12-29,17.5958,17.8097,17.3405,17.4647,150300
1999-12-30,17.3819,17.5544,17.3405,17.5130,90900
1999-12-31,17.5130,17.8097,17.5130,17.7269,112400
2000-01-03,17.5958,17.6855,17.5130,17.6372,56300
2000-01-04,16.9955,17.7269,16.9472,17.2094,143400
2000-01-05,17.0369,17.2922,16.9955,17.0783,117500
2000-01-06,16.9472,17.2094,16.9472,17.1680,41500
2000-01-07,17.4647,17.9409,17.4647,17.8097,151000
2000-01-10,18.2859,18.3273,17.9409,17.9409,140900
2000-01-11,17.9823,17.9823,17.7683,17.9823,101300
2000-01-12,17.8995,17.9409,17.7269,17.7269,74200
2000-01-13,17.9823,18.3756,17.9409,18.3273,101000
2000-01-14,18.4584,18.5895,18.3756,18.4170,80100
2000-01-18,19.6659,19.7970,19.2381,19.7970,214200
2000-01-19,19.6659,19.7556,19.4106,19.7556,140700
2000-01-20,19.5831,19.5831,19.2381,19.2381,70100
2000-01-21,18.9759,18.9759,17.7683,17.7683,185100
2000-01-24,17.9409,17.9409,17.5130,17.6855,179900
2000-01-25,18.1134,18.1134,17.6855,17.8995,103300
2000-01-26,17.4647,17.6855,17.2508,17.2508,60800
2000-01-27,17.2508,17.4647,16.9472,17.4647,187200
2000-01-28,16.9472,17.1680,15.8708,15.8708,159400
2000-01-31,16.5608,16.8230,16.4780,16.5608,71400
2000-02-01,17.0783,17.0783,16.8644,16.8644,65900
2000-02-02,17.1197,17.2508,17.1197,17.2094,43800
2000-02-03,17.2094,17.4233,16.8230,17.1680,143600
2000-02-04,18.7620,18.7620,17.3819,18.7620,747400
2000-02-07,19.1898,19.3623,18.1548,18.2445,521200
2000-02-08,18.1134,18.4170,18.0720,18.2031,99700
2000-02-09,18.8448,19.2795,18.5481,18.8448,209200
2000-02-10,18.8448,19.2795,18.6309,18.8448,186300
2000-02-11,18.5481,18.5481,18.1134,18.5481,109200
2000-02-14,18.6309,18.6309,17.8580,18.2859,73000
2000-02-15,18.2859,18.6723,18.2859,18.4170,112000
2000-02-16,18.5895,18.9345,18.5895,18.7620,63500
2000-02-17,19.3209,19.4106,18.9345,19.0656,129200
2000-02-18,19.3209,19.4934,19.2381,19.4520,212200
2000-02-22,19.1484,19.6245,18.8931,19.3209,219500
2000-02-23,19.7659,19.7659,18.6974,18.9681,103600
2000-02-24,19.1462,19.1462,18.3413,18.3413,174000
2000-02-25,18.0778,18.0778,17.6290,17.8997,212700
2000-02-28,17.8997,18.1205,17.8071,17.8071,81000
2000-02-29,18.5194,18.5194,18.2558,18.2558,107600
2000-03-01,18.7900,19.0536,18.6547,19.0536,102300
2000-03-02,18.9681,18.9681,18.6974,18.9681,156100
2000-03-03,18.4766,18.4766,18.0778,18.3413,69800
2000-03-06,18.1205,18.5194,18.0778,18.4766,123100
2000-03-07,18.3840,19.2316,18.3840,18.9681,230000
2000-03-08,18.6547,18.7900,18.2558,18.3413,227900
2000-03-09,18.4766,18.6547,18.4339,18.5621,87000
2000-03-10,18.4339,18.4766,17.8071,18.3413,40500
2000-03-13,18.3840,18.5194,18.0778,18.3840,65900
2000-03-14,18.3840,18.3840,18.0778,18.1205,33700
2000-03-15,17.9424,18.1205,17.7643,18.1205,99100
2000-03-16,17.9424,17.9424,17.6290,17.8071,141500
2000-03-17,18.4766,18.4766,16.9167,17.3655,182400
2000-03-20,17.2729,17.5435,17.2301,17.4509,105400
2000-03-21,17.5435,18.2558,17.5435,18.2558,130100
2000-03-22,17.9424,17.9424,17.4937,17.4937,80500
2000-03-23,17.6717,17.7216,17.4509,17.5863,70700
2000-03-24,17.6290,17.8498,17.5435,17.7643,77600
2000-03-27,17.7643,17.8071,17.6717,17.8071,117100
2000-03-28,17.8071,17.8071,17.4937,17.6290,88600
2000-03-29,17.3655,17.6290,17.1874,17.2301,50100
2000-03-30,17.0948,17.2729,16.7387,16.7387,90500
2000-03-31,16.8313,17.2301,16.8313,17.0948,175500
2000-04-03,17.1375,17.1874,17.0093,17.0948,47400
2000-04-04,17.0521,17.8071,16.7814,17.3156,157700
2000-04-05,16.7814,17.0948,16.6033,17.0948,112300
2000-04-06,16.6033,16.8740,16.5178,16.6532,79000
2000-04-07,16.1190,16.4253,16.0264,16.3398,121000
2000-04-10,16.1617,16.3825,16.0691,16.2472,212700
2000-04-11,16.2970,16.3825,16.1190,16.1190,144700
2000-04-12,15.8483,16.0264,15.0933,15.8910,190500
2000-04-13,15.8910,15.8910,15.6702,15.8483,80700
2000-04-14,15.8056,16.4751,15.6702,16.3398,585900
2000-04-17,16.0264,16.0264,15.4494,15.8056,240300
2000-04-18,14.9579,15.0933,14.6445,15.0933,304100
2000-04-19,14.7799,14.9152,14.5591,14.9152,342500
2000-04-20,14.8725,15.0505,14.3383,14.3383,199400
2000-04-24,14.5163,14.7799,14.4237,14.4237,106100
2000-04-25,14.6944,14.7799,14.5163,14.6445,89900
2000-04-26,14.0676,14.3810,13.8895,14.3810,452800
2000-04-27,14.1103,14.5591,14.1103,14.4665,202300
2000-04-28,13.5761,13.8468,13.4479,13.8468,304200
2000-05-01,13.8468,14.1602,13.8041,14.0676,116700
2000-05-02,13.8041,15.4067,13.8041,15.3568,786600
2000-05-03,14.6944,14.7371,14.1103,14.1103,547700
2000-05-04,14.2457,14.5591,14.2029,14.4665,1052400
2000-05-05,14.5163,14.5163,14.0249,14.2884,350300
2000-05-08,14.2029,14.2029,13.9821,14.1602,184200
2000-05-09,14.1103,14.1602,13.8895,14.0249,296600
2000-05-10,14.0249,14.4665,14.0249,14.2457,307200
2000-05-11,14.3810,14.4665,14.2457,14.2457,131400
2000-05-12,14.2457,14.3810,14.0676,14.2884,115400
2000-05-15,14.1103,14.3383,14.0676,14.0676,191600
2000-05-16,14.0249,14.1103,13.8895,14.0676,242000
2000-05-17,13.5334,13.6260,13.2200,13.4479,314000
2000-05-18,13.1772,13.4479,13.0419,13.1772,340700
2000-05-19,12.9992,13.3553,12.9992,13.0918,374100
2000-05-22,13.1345,13.5761,13.0419,13.1772,476500
2000-05-23,13.1772,13.3126,13.1345,13.2698,126200
